"Ceremony","Award_Name"
"American Screenwriters Association, USA","Discover Screenwriting Award"
"Annie Awards","Annie"
"Awards Circuit Community Awards","ACCA"
"Broadcast Film Critics Association Awards","Critics Choice Award"
"Central Ohio Film Critics Association","COFCA Award"
"Chicago Film Critics Association Awards","CFCA Award"
"Christopher Awards","Christopher Award"
"Detroit Film Critic Society, US","DFCS Award"
"Empire Awards, UK","Empire Award"
"European Film Awards","Screen International Award"
"Film Critics Circle of Australia Awards","FCCA Award"
"Golden Schmoes Awards","Golden Schmoes"
"Hollywood Film Awards","Hollywood Film Award"
"Houston Film Critics Society Awards","HFCS Award"
"Humanitas Prize","Humanitas Prize"
"International Online Film Critics' Poll","IOFCP Award"
"London Critics Circle Film Awards","ALFS Award"
"North Texas Film Critics Association, US","NTFCA Award"
"Online Film & Television Association","OFTA Film Award"
"Online Film Critics Society Awards","OFCS Award"
"Rembrandt Awards","Rembrandt Award"
"Satellite Awards","Satellite Award"
"Science Fiction and Fantasy Writers of America","Bradbury Award"
"Science Fiction and Fantasy Writers of America","Nebula Award"
"Seattle Film Critics Awards","Seattle Film Critics Award"
"ShoWest Convention, USA","Special Award"
"Southeastern Film Critics Association Awards","SEFCA Award"
"St. Louis Film Critics Association, US","SLFCA Award"
"Tokyo Anime Award","International Theater Award"
"Toronto Film Critics Association Awards","TFCA Award"
"Utah Film Critics Association Awards","UFCA Award"
"Visual Effects Society Awards","VES Award"
"Washington DC Area Film Critics Association Awards","WAFCA Award"
"BAFTA Awards","BAFTA TV Award"
"BAFTA Awards","Alexander Korda Award for Best British Film"
"BAFTA Awards","David Lean Award for Direction"
"Broadcasting Press Guild Awards","Broadcasting Press Guild Award"
"Czech Lions","Czech Lion"
"Dallas-Fort Worth Film Critics Association Awards","DFWFCA Award"
"Directors Guild of Great Britain","Lifetime Achievement Award"
"Empire Awards, UK","Inspiration Award"
"Florida Film Critics Circle Awards","FFCC Award"
"IGN Summer Movie Awards","IGN Award"
"Jupiter Award","Jupiter Award"
"Kansas City Film Critics Circle Awards","KCFCC Award"
"Kinema Junpo Awards","Kinema Junpo Award"
"Las Vegas Film Critics Society Awards","Sierra Award"
"Los Angeles Film Critics Association Awards","LAFCA Award"
"Phoenix Film Critics Society Awards","PFCS Award"
"Russian Guild of Film Critics","Golden Aries"
"Satellite Awards","Golden Satellite Award"
"Academy Awards, USA","Honorary Award"
"British Film Institute Awards","BFI Fellowship"
"Cannes Film Festival","20th Anniversary Prize"
"Cannes Film Festival","Technical Grand Prize"
"Cannes Film Festival","Best Actor"
"Cannes Film Festival","Grand Prize of the Festival"
"Cinema Eye Honors Awards, US","Cinema Eye Honors Award"
"David di Donatello Awards","Luchino Visconti Award"
"Directors Guild of America, USA","Lifetime Achievement Award"
"French Syndicate of Cinema Critics","Critics Award"
"Los Angeles Film Critics Association Awards","Career Achievement Award"
"Munich Film Festival","One Future Prize"
"National Board of Review, USA","Career Achievement Award"
"National Board of Review, USA","NBR Award"
"Online Film & Television Association","OFTA Film Hall of Fame"
"Peabody Awards","Peabody Award"
"Sant Jordi Awards","Sant Jordi"
"Venice Film Festival","Career Golden Lion"
"Venice Film Festival","Grand International Award"
"Walk of Fame","Star on the Walk of Fame"
"Western Heritage Awards","Bronze Wrangler"
"AACTA International Awards","AACTA International Award"
"Adolf Grimme Awards, Germany","Adolf Grimme Award"
"Alliance of Women Film Journalists","EDA Special Mention Award"
"Avoriaz Fantastic Film Festival","Grand Prize"
"Awards Circuit Community Awards","Honorable Mentions (The Next Ten Best Picture Contenders)"
"Blue Ribbon Awards","Blue Ribbon Award"
"Boston Society of Film Critics Awards","BSFC Award"
"Bremen Film Award","Bremen Film Award"
"Cannes Film Festival","Jury Prize"
"Cannes Film Festival","Best Artistic Contribution"
"Chicago International Film Festival","Silver Hugo"
"Copenhagen International Film Festival","Honorary Award"
"CPH:DOX","CPH:DOX Award"
"Denver Film Critics Society","DFCS Award"
"European Film Awards","Outstanding European Achievement in World Cinema"
"European Film Awards","FIPRESCI Prize"
"Fotogramas de Plata","Fotogramas de Plata"
"Fright Meter Awards","Fright Meter Award"
"Ft. Lauderdale International Film Festival","President Award"
"Golden Cable, Germany","Bronze Cable for Innovation"
"Golden Eagle Awards, Russia","Golden Eagle"
"Goya Awards","Goya"
"Guild of German Art House Cinemas","Guild Film Award - Silver"
"Indiewire Critics' Poll","ICP Award"
"International Online Cinema Awards (INOCA)","Halfway Award"
"Italian Online Movie Awards (IOMA)","IOMA"
"Karlovy Vary International Film Festival","Best Director"
"Karlovy Vary International Film Festival","Crystal Globe"
"London Film Festival","FIPRESCI Prize"
"Lübeck Nordic Film Days","Baltic Film Prize for a Nordic Feature Film"
"Lübeck Nordic Film Days","Prize of the Ecumenical Jury"
"Mannheim-Heidelberg International Filmfestival","Josef von Sternberg Award"
"Motovun Film Festival","FIPRESCI Prize"
"NatFilm Festival","Night Dreamer Award"
"Neuchâtel International Fantastic Film Festival","Titra Film Award"
"Neuchâtel International Fantastic Film Festival","Narcisse Award"
"Nordisk Film Award","Nordisk Film Award"
"Ole Awards","Ole"
"Polish Film Awards","Eagle"
"Robert Festival","Audience Award"
"Russian Guild of Film Critics","White Elephant"
"San Sebastián International Film Festival","Golden Seashell"
"SESC Film Festival, Brazil","Critics Award"
"SESC Film Festival, Brazil","Audience Award"
"Sitges - Catalonian International Film Festival","Best Film"
"Sofia International Film Festival","Audience Award"
"Stockholm Film Festival","FIPRESCI Prize"
"Sun in a Net Awards, Slovakia","Sun in a Net"
"Tallinn Black Nights Film Festival","Audience Award"
"Turia Awards","Audience Award"
"Uruguay International Film Festival","Best Film"
"Valladolid International Film Festival","50th Anniversary Prize"
"Vancouver International Film Festival","Most Popular Film"
"Village Voice Film Poll","VVFP Award"
"Zulu Awards","Zulu"
"Canadian Screen Awards, CA","Canadian Screen Award"
"Directors Guild of Canada","DGC Team Award"
"Directors Guild of Canada","DGC Craft Award"
"Genie Awards","Genie"
"Montréal World Film Festival","First Prize (Short Films)"
"Málaga International Week of Fantastic Cinema","Best Film"
"Avoriaz Fantastic Film Festival","Special Jury Award"
"Brussels International Festival of Fantasy Film (BIFFF)","Critic's Prize"
"Cinema for Peace Awards","International Human Rights Award"
"Durban International Film Festival","Audience Award"
"Fantasporto","Audience Jury Award"
"Fantasporto","Audience Jury Award - Special Mention"
"Locarno International Film Festival","Variety Piazza Grande Award"
"Montréal World Film Festival","Grand Prix Special des Amériques"
"Mystfest","Best Film"
"National Academy of Cinema, France","Academy Award"
"NRJ Ciné Awards","Honorary Award"
"Pusan International Film Festival","Hand Printing"
"Sitges - Catalonian International Film Festival","Caixa de Catalunya"
"Stockholm Film Festival","Visionary Award"
"Taormina International Film Festival","Silver Charybdis"
"Academy of Science Fiction, Fantasy & Horror Films, USA","Life Career Award"
"German Film Awards","Honorary Award"
"Mar del Plata Film Festival","Best Film"
"Venice Film Festival","International Critics Award - Special Mention"
"ADIRCAE Awards","ADIRCAE Award"
"Alliance of Women Film Journalists","EDA Female Focus Award"
"Ariel Awards, Mexico","Silver Ariel"
"Atlantic Film Festival","Canadian Award"
"Barcelona Film Awards","Barcelona Film Award"
"Berlin International Film Festival","Prize of the Guild of German Art House Cinemas"
"Bogota Film Festival","Golden Precolumbian Circle"
"Butaca Awards","Butaca"
"Cinema Writers Circle Awards, Spain","CEC Award"
"Edinburgh International Film Festival","Audience Award"
"German Screen Actors Awards","Honorary Award"
"Guadalajara International Film Festival","Mayahuel Award"
"José María Forqué Awards","José María Forqué Award"
"Málaga Spanish Film Festival","Silver Biznaga"
"Nantes Spanish Film Festival","Audience Award"
"Ondas Awards","Film Award"
"Provincetown International Film Festival","Audience Award"
"Rome Film Fest","Golden Marc'Aurelio Award"
"Sant Jordi Awards","Audience Award"
"Tallinn Black Nights Film Festival","Just Film Award"
"Thessaloniki Film Festival","Silver Alexander"
"Thessaloniki Film Festival","Golden Alexander"
"Traverse City Film Festival","Audience Award"
"Turia Awards","Turia Award"
"Venice Film Festival","Lina Mangiacapre Award"
"Washington West Film Festival","Festival Prize"
"Yoga Awards","Special Award"
"PGA Awards","PGA Award"
"American Choreography Awards, USA","American Choreography Award"
"American Cinema Editors, USA","Golden Eddie Filmmaker of the Year Award"
"Austin Film Critics Association","Austin Film Critics Award"
"Austin Film Critics Association","Austin Film Award"
"Australian Film Institute","Best Foreign Film Award"
"Avignon Film Festival","Prix Tournage"
"Black Film Critics Circle Awards","BFCC Award"
"Capri, Hollywood","Capri Movie of the Year Award"
"Capri, Hollywood","Capri Legend Award"
"Casting Society of America, USA","Career Achievement Award"
"Cinema Audio Society, USA","Filmmaker Award"
"Cinema Brazil Grand Prize","Cinema Brazil Grand Prize"
"Cinema Brazil Grand Prize","Audience Award"
"Cinemanila International Film Festival","Lifetime Achievement Award"
"Costume Designers Guild Awards","Distinguished Collaborator Award"
"César Awards, France","Honorary César"
"Dublin Film Critics Circle Awards","DFCC"
"DVD Exclusive Awards","Pioneer Award"
"Empire Awards, UK","Special Award"
"FICE - Federazione Italiana Cinema d'Essai","Audience Award"
"Gold Derby Awards","Gold Derby TV Award"
"Grammy Awards","Grammy"
"Huading Award","Huading Award"
"Indiana Film Journalists Association, US","IFJA Award"
"International Cinephile Society Awards","ICS Award"
"London Critics Circle Film Awards","Dilys Powell Award"
"New York Film Critics, Online","NYFCO Award"
"North Carolina Film Critics Association","NCFCA Award"
"Palm Springs International Film Festival","Sonny Bono Visionary Award"
"Phoenix Critics Circle","PCC Award"
"Provincetown International Film Festival","Filmmaker on the Edge Award"
"Rome Film Fest","Lifetime Achievement Award"
"San Diego Film Critics Society Awards","SDFCS Award"
"San Francisco Film Critics Circle","SFFCC Award"
"Santa Barbara International Film Festival","American Riviera Award"
"Santa Barbara International Film Festival","Kirk Douglas Award for Excellence in Film"
"Sitges - Catalonian International Film Festival","Audience Award"
"Sitges - Catalonian International Film Festival","Time-Machine Honorary Award"
"Sitges - Catalonian International Film Festival","Best Director"
"Sitges - Catalonian International Film Festival","Best Screenplay"
"Society of Texas Film Critics Awards","STFC Award"
"Stockholm Film Festival","Lifetime Achievement Award"
"Stockholm Film Festival","Best Screenplay"
"Toronto International Film Festival","International Critics' Award (FIPRESCI)"
"TV Land Awards","TV Land Award"
"Vancouver Film Critics Circle","VFCC Award"
"Western Writers of America","Spur Award"
"World Stunt Awards","Action Movie Director Award"
"Writers Guild of America, USA","WGA Award (TV)"
"Yubari International Fantastic Film Festival","Critics Award"
"Awards of the Israeli Film Academy","Award of the Israeli Film Academy"
"Berlin International Film Festival","C.I.C.A.E. Award"
"Berlin International Film Festival","Reader Jury of the """"""""Siegessäule"""""""""
"Chéries-Chéris","Grand Prize Chéries-Chéris"
"Dublin Gay & Lesbian Film Festival","Audience Award"
"Durban International Film Festival","Best Screenplay"
"GLAAD Media Awards","GLAAD Media Award"
"Glitter Awards","Glitter Award"
"Iris Prize Festival","Iris Prize"
"Jerusalem Film Festival","Television Drama Award"
"L.A. Outfest","Special Programming Committee Award"
"Milan International Lesbian and Gay Film Festival","Audience Award"
"Munich International Festival of Film Schools","Jury Award"
"Seville European Film Festival","Audience Award"
"Torino International Gay & Lesbian Film Festival","Audience Award"
"Toronto Inside Out Lesbian and Gay Film and Video Festival","Audience Award"
"Tribeca Film Festival","Jury Award"
"Washington Jewish Film Festival","Audience Award"
"Abu Dhabi Film Festival","Black Pearl Award"
"Berlin International Film Festival","Crystal Bear"
"Berlin International Film Festival","Prize of the Ecumenical Jury"
"Berlin International Film Festival","Peace Film Award"
"British Comedy Awards","British Comedy Award"
"British Independent Film Awards","British Independent Film Award"
"Cannes Film Festival","François Chalais Award"
"CPH PIX","Politiken's Audience Award"
"Dinard British Film Festival","Golden Hitchcock"
"Directors Guild of Great Britain","DGGB Award"
"Edinburgh International Film Festival","Best New British Feature"
"Emden International Film Festival","Emden Film Award"
"Empire Awards, UK","Independent Spirit Award"
"Evening Standard British Film Awards","Special Award"
"Göteborg Film Festival","Honorary Dragon Award"
"Istanbul International Film Festival","Golden Tulip"
"London Film Festival","Best Film"
"Munich Film Festival","ARRI/OSRAM Award"
"Neuchâtel International Fantastic Film Festival","Golden Méliès Award"
"San Sebastián International Film Festival","Silver Seashell"
"Seattle International Film Festival","Emerging Masters Showcase Award"
"Sitges - Catalonian International Film Festival","Grand Prize of European Fantasy Film in Silver"
"Tallinn Black Nights Film Festival","Grand Prize"
"Tallinn Black Nights Film Festival","Jury Prize"
"Torino International Festival of Young Cinema","C.I.C.A.E. Award"
"Torino International Festival of Young Cinema","Prize of the City of Torino"
"Valladolid International Film Festival","Youth Jury Award"
"Valladolid International Film Festival","Best Documentary"
"BAFTA Awards","Anthony Asquith Award for Film Music"
"American Society of Cinematographers, USA","Board of the Governors Award"
"Berlin International Film Festival","Berlinale Camera"
"Biografilm Festival","Guerrilla Staff Award al Miglior Ospite"
"CableACE Awards","CableACE"
"CableACE Awards","ACE"
"Cannes Film Festival","C.I.C.A.E. Award"
"Cinema Writers Circle Awards, Spain","CEC Career Award"
"Denver International Film Festival","Lifetime Achievement Award"
"Film Society of Lincoln Center","Gala Tribute"
"Moscow International Film Festival","Golden Prize"
"National Board of Review, USA","Billy Wilder Award"
"Prince of Asturias Awards","Prince of Asturias Award"
"San Sebastián International Film Festival","Special 50th Anniversary Award"
"San Sebastián International Film Festival","FIPRESCI Prize"
"San Sebastián International Film Festival","OCIC Award"
"Satellite Awards","Mary Pickford Award"
"Telluride Film Festival, US","Silver Medallion Award"
"Thessaloniki Film Festival","Honorary Golden Alexander"
"USC Scripter Award","USC Scripter Award"
"Fantasia Film Festival","Most Innovative Film (Short or Feature)"
"Tokyo Anime Award","Notable Entry"
"Amsterdam Fantastic Film Festival","Silver Scream Award"
"Annecy International Animated Film Festival","The Annecy Cristal"
"Annie Awards","Winsor McCay Award"
"Mainichi Film Concours","Ofuji Noburo Award"
"Sitges - Catalonian International Film Festival","Best Animated Feature Film"
"Yokohama Film Festival","Special Jury Prize"
"Golden Globes, USA","Cecil B. DeMille Award"
"Golden Globes, USA","Henrietta Award"
"AARP Movies for Grownups Awards","Movies for Grownups Award"
"Academy of Motion Picture Arts and Sciences of Argentina","Award of the Argentinean Academy"
"American Movie Awards","Special Marquee"
"ASCAP Film and Television Music Awards","Opus Award"
"ASCAP Film and Television Music Awards","ASCAP Award"
"Australian Film Institute","AFI Award"
"Black Reel Awards","Black Reel"
"Blockbuster Entertainment Awards","Blockbuster Entertainment Award"
"Broadcast Film Critics Association Awards","Lifetime Achievement Award"
"Cannes Film Festival","Honorary Golden Palm"
"Cannes Film Festival","Special Award"
"Chicago International Film Festival","Career Achievement Award"
"CinemaCon, USA","CinemaCon Award"
"Golden Apple Awards","Golden Apple"
"Golden Boot Awards","Founder's Award"
"Golden Boot Awards","Golden Boot"
"Golden Camera, Germany","Golden Camera for Lifetime Achievement"
"Hasty Pudding Theatricals, USA","Man of the Year"
"Heartland Film","Truly Moving Picture Award"
"Laurel Awards","Golden Laurel"
"Los Angeles Film Festival","Spirit of Independence Award"
"Mainichi Film Concours","Mainichi Film Concours"
"Mainichi Film Concours","Readers' Choice Award"
"National Board of Review, USA","Special Achievement Award"
"Palm Springs International Film Festival","Career Achievement Award"
"People's Choice Awards, USA","People's Choice Award"
"PGA Awards","Milestone Award"
"PGA Awards","Lifetime Achievement Award in Motion Pictures"
"Publicists Guild of America","Lifetime Achievement Award"
"Publicists Guild of America","Showmanship Award"
"San Francisco International Film Festival","Akira Kurosawa Award"
"Santa Barbara International Film Festival","Modern Master Award"
"Screen Actors Guild Awards","Actor"
"Screen Actors Guild Awards","Life Achievement Award"
"Society of Camera Operators","Governors' Award"
"Venice Film Festival","Future Film Festival Digital Award"
"World Soundtrack Awards","World Soundtrack Award"
"Bram Stoker Awards","Bram Stoker Award"
"Cannes Film Festival","Golden Camera"
"Cork International Film Festival","International Jury Award"
"CPH:DOX","Sound & Vision Award"
"Deauville Film Festival","Grand Special Prize"
"Deauville Film Festival","""""""""Première"""""""" Audience Award"
"Ghent International Film Festival","Youth Jury Award"
"Gotham Awards","Celebrate New York Award"
"Gotham Awards","Gotham Independent Film Award"
"Miami Film Festival","Grand Jury Prize"
"MTV Video Music Awards (VMA)","VMA"
"Neuchâtel International Fantastic Film Festival","Special Mention"
"Oberhausen International Short Film Festival","FICC Prize"
"SACD Awards","Cinema Award"
"Seattle International Film Festival","Futurewave Youth Jury Award"
"AFI Fest","Audience Award"
"ALMA Awards","ALMA Award"
"Bodil Awards","Streaming Award"
"Bogota Film Festival","Audience Award"
"Bombay International Film Festival","Audience Choice Award"
"Boston Online Film Critics Association","BOFCA Award"
"Cannes Film Festival","Best Director"
"Cannes Film Festival","Critics Week Grand Prize"
"Cannes Film Festival","Young Critics Award"
"Cannes Film Festival","Grand Golden Rail"
"Capri, Hollywood","Capri Visionary Movie Award"
"Chicago International Film Festival","Audience Choice Award"
"Cinema Bloggers Awards, Portugal","Cinema Bloggers Award"
"Edinburgh International Film Festival","New Director's Award"
"Film Independent Spirit Awards","Special Distinction Award"
"Gay and Lesbian Entertainment Critics Association (GALECA)","Dorian Award"
"Globes de Cristal Awards, France","Globe de Cristal"
"Gotham Awards","Audience Award"
"Gotham Awards","World Cinema Tribute Award"
"Guldbagge Awards","Guldbagge"
"Havana Film Festival","Coral"
"Havana Film Festival","Glauber Rocha Award"
"Havana Film Festival","Cuban Press Association Award"
"Hellenic Film Academy Awards","Hellenic Film Academy Award"
"Huelva Latin American Film Festival","Rábida Award"
"Image Awards","Image Award"
"Imagen Foundation Awards","Imagen Award"
"Iowa Film Critics Awards","IFC Award"
"Lleida Latin-American Film Festival","Best First Work"
"MTV Movie Awards, Latin America","MTV Movie Award"
"Nevada Film Critics Society","NFCS Award"
"Oslo Films from the South Festival","Films from the South Award"
"Palm Springs International Film Festival","Director of the Year Award"
"Premios ACE","Premio ACE"
"Santa Barbara International Film Festival","Outstanding Director of the Year Award"
"Screenwriters Choice Awards, Online","Screenplay Competition"
"São Paulo International Film Festival","International Jury Award - Honorable Mention"
"São Paulo International Film Festival","Critics Award"
"São Paulo International Film Festival","International Jury Award"
"Tokyo International Film Festival","Best Director Award"
"Valdivia International Film Festival","Audience Award"
"Venice Film Festival","Leoncino d'Oro Agiscuola Award"
"Venice Film Festival","Nazareno Taddei Award"
"Venice Film Festival","Soundtrack Stars Award"
"Venice Film Festival","UNESCO Award"
"Zurich Film Festival","Career Achievement Award"
"Avoriaz Fantastic Film Festival","C.S.T. Award"
"Avoriaz Fantastic Film Festival","Suspense Award"
"Avoriaz Fantastic Film Festival","Critics Award"
"Avoriaz Fantastic Film Festival","Antennae II Award"
"Brussels International Festival of Fantasy Film (BIFFF)","Best Science-Fiction Film"
"Cannes Film Festival","Jury Special Prize"
"Directors Guild of Canada","DGC Lifetime Achievement Award"
"Fantafestival","Best Film"
"Fantafestival","Audience Award"
"Genie Awards","Golden Reel Award"
"Ghent International Film Festival","Special Jury Prize"
"Golden Horse Film Festival","Golden Horse Award"
"Gotham Awards","Tribute Award"
"Jeonju Film Festival","Audience Award"
"Scream Awards","Scream Award"
"Sitges - Catalonian International Film Festival","Maria"
"Sitges - Catalonian International Film Festival","Prize of the International Critics' Jury - Special Mention"
"Sitges - Catalonian International Film Festival","Medalla Sitges en Plata de Ley"
"Sitges - Catalonian International Film Festival","Medalla Sitges en Oro de Ley"
"Toronto Film Critics Association Awards","Rogers Award"
"Toronto International Film Festival","Best Canadian Feature Film"
"BAFTA Awards","Academy Fellowship"
"BAFTA Awards","UN Award"
"David di Donatello Awards","European David"
"Giffoni Film Festival","Nocciola d'Oro"
"Guild of German Art House Cinemas","Guild Film Award - Gold"
"Jussi Awards","Diploma of Merit"
"Locarno International Film Festival","Prize"
"Sitges - Catalonian International Film Festival","Honorary Grand Prize"
"Venice Film Festival","Filmcritica """"""""Bastone Bianco"""""""" Award"
"Venice Film Festival","Pasinetti Award"
"BAFTA Awards","Special Award"
"Austin Fantastic Fest","Jury Prize"
"Berlin International Film Festival","Reader Jury of the """"""""Berliner Morgenpost"""""""""
"Camerimage","Special Award"
"Dubai International Film Festival","Lifetime Achievement Award"
"Gijón International Film Festival","Honorary Award"
"Locarno International Film Festival","Leopard of Honor"
"Order of Arts and Letters, France","Knight of the Order of Arts and Letters"
"Venice Film Festival","Fondazione Mimmo Rotella Special Award"
"Venice Film Festival","Future Film Festival Digital Award - Special Mention"
"Venice Film Festival","Silver Lion"
"Venice Film Festival","Little Golden Lion"
"Berlin International Film Festival","Teddy"
"Cannes Film Festival","Award of the Youth"
"Cannes Film Festival","Queer Palm"
"Cannes Film Festival","Best Screenplay"
"Cartagena Film Festival","Golden India Catalina"
"Chlotrudis Awards","Chloe Award"
"Fangoria Chainsaw Awards","Chainsaw Award"
"Fantasporto","International Fantasy Film Special Jury Award"
"Feroz Awards, ES","Feroz Award"
"Ft. Lauderdale International Film Festival","Jury Award"
"Ft. Lauderdale International Film Festival","People's Choice Award"
"German Film Awards","Best Foreign Film"
"Golden Globes, Italy","Golden Globe"
"Gramado Film Festival","Golden Kikito"
"Hollywood Film Awards","Hollywood World Award"
"Iberoamerican Short Film Competition","""""""""La Navaja de Buñuel"""""""" Award"
"International Cinephile Society Awards","ICS Cannes Award"
"Los Angeles Film Critics Association Awards","New Generation Award"
"National Society of Film Critics Awards, USA","Special Award"
"Ondas Awards","Cinemania Award"
"Popcorn Film Festival","Audience Award"
"San Diego Film Festival","Festival Award"
"San Francisco International Lesbian & Gay Film Festival","Audience Award"
"Sant Jordi Awards","Rosa de Sant Jordi Audience Award"
"Sant Jordi Awards","Career Award"
"The Platino Awards for Iberoamerican Cinema","Platino Award"
